"Date/Time (PST)","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Temperature  (deg F) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2022-12-30 23:00:00",13.16,0.05,99.1,89.4,3.553,27.7,0.555,0.554,0.599,0.445,0.595,0.595
"2022-12-30 22:00:00",13.16,0.04,98.9,88.9,46.2,27.59,0.556,0.554,0.598,0.445,0.597,0.597
"2022-12-30 21:00:00",13.16,0.07,99.2,88.6,2.214,27.12,0.556,0.554,0.598,0.449,0.603,0.603
"2022-12-30 20:00:00",13.16,0,97.9,87.9,2.08,26.48,0.557,0.554,0.598,0.449,0.603,0.603
"2022-12-30 19:00:00",13.16,0,98,87.9,1.612,26.48,0.556,0.554,0.598,0.446,0.6,0.6
"2022-12-30 18:00:00",13.16,0.07,97.5,86.6,1.411,26.58,0.556,0.554,0.598,0.445,0.597,0.597
"2022-12-30 17:00:00",13.16,0.07,99.1,321,46.2,28.56,0.556,0.554,0.598,0.444,0.594,0.594
"2022-12-30 16:00:00",13.16,0.07,99.4,83.4,-0.664,29.07,0.556,0.554,0.598,0.442,0.593,0.593
"2022-12-30 15:00:00",13.16,0.06,99.2,85.7,7.101,29.12,0.557,0.554,0.598,0.442,0.592,0.592
"2022-12-30 14:00:00",13.16,0,98.9,85.1,46.2,29.19,0.557,0.554,0.598,0.444,0.591,0.591
"2022-12-30 13:00:00",13.16,0,98.9,85.1,5.896,29.55,0.557,0.554,0.598,0.446,0.586,0.586
"2022-12-30 12:00:00",13.16,0,99.3,85.3,46.2,28.98,0.557,0.554,0.598,0.446,0.583,0.583
"2022-12-30 11:00:00",13.16,0.01,99.2,85.6,46.2,29.06,0.557,0.554,0.598,0.447,0.582,0.582
"2022-12-30 10:00:00",13.16,0.05,99.7,85.4,6.499,29.05,0.557,0.554,0.598,0.446,0.576,0.576
"2022-12-30 09:00:00",13.16,0.01,99.6,85.3,46.2,28.37,0.557,0.554,0.598,0.444,0.576,0.576
"2022-12-30 08:00:00",13.16,0.03,99.6,84.8,5.528,28.19,0.557,0.554,0.598,0.445,0.574,0.574
"2022-12-30 07:00:00",13.16,0.03,99.6,83.3,5.762,28.46,0.557,0.554,0.598,0.443,0.573,0.573
"2022-12-30 06:00:00",13.16,0.03,99.9,85,5.193,29,0.557,0.554,0.598,0.439,0.572,0.572
"2022-12-30 05:00:00",13.16,0.02,100,84.7,5.428,29.64,0.557,0.554,0.598,0.434,0.56,0.56
"2022-12-30 04:00:00",13.16,0.03,100,84.8,5.494,30.26,0.557,0.554,0.598,0.433,0.546,0.546
"2022-12-30 03:00:00",13.16,0.04,100,84.8,4.156,30.4,0.557,0.554,0.598,0.433,0.536,0.536
"2022-12-30 02:00:00",13.16,0.05,100,84.6,4.624,30.4,0.559,0.554,0.598,0.433,0.529,0.529
"2022-12-30 01:00:00",13.16,0.16,100,83.6,46.2,31.25,0.56,0.554,0.598,0.433,0.529,0.529
"2022-12-30 00:00:00",13.16,0.11,100,81.4,3.054,31.93,0.56,0.554,0.598,0.433,0.529,0.529
"2022-12-29 23:00:00",13.16,0.1,100,79.77,1.279,31.95,0.56,0.554,0.598,0.433,0.529,0.529
"2022-12-29 22:00:00",13.16,0.07,100,329.3,46.2,31.93,0.56,0.554,0.598,0.433,0.529,0.529
"2022-12-29 21:00:00",13.16,0.02,100,77.77,-1.198,31.99,0.56,0.555,0.598,0.433,0.529,0.529
"2022-12-29 20:00:00",13.16,0.01,100,78.4,-0.93,31.87,0.56,0.555,0.598,0.432,0.529,0.529
"2022-12-29 19:00:00",13.16,0,100,78.02,-1.133,31.49,0.56,0.555,0.598,0.428,0.529,0.529
"2022-12-29 18:00:00",13.16,0,100,79.49,-0.464,30.86,0.56,0.555,0.598,0.425,0.527,0.527
"2022-12-29 17:00:00",13.16,0,100,79.69,-0.564,29.71,0.56,0.555,0.598,0.426,0.525,0.525
"2022-12-29 16:00:00",13.16,0.01,100,79.83,-0.798,29.93,0.56,0.555,0.597,0.423,0.522,0.522
"2022-12-29 15:00:00",13.16,0.03,99.5,79.19,-0.597,29.89,0.56,0.555,0.597,0.421,0.522,0.522
"2022-12-29 14:00:00",13.16,0,100,79.36,-0.597,30.4,0.561,0.555,0.597,0.423,0.525,0.525
"2022-12-29 13:00:00",13.16,0.06,99.7,79.16,1.612,28.79,0.56,0.555,0.597,0.423,0.524,0.524
"2022-12-29 12:00:00",13.16,0.03,99,78.66,46.2,28.18,0.56,0.555,0.597,0.42,0.52,0.52
"2022-12-29 11:00:00",13.16,0.07,99.1,78.76,46.2,28.09,0.56,0.555,0.597,0.422,0.52,0.52
"2022-12-29 10:00:00",13.16,0.04,98.5,77.48,46.2,26.27,0.561,0.555,0.597,0.418,0.514,0.514
"2022-12-29 09:00:00",13.16,0.02,97.1,77.38,-1.135,25.86,0.561,0.555,0.597,0.415,0.511,0.511
"2022-12-29 08:00:00",13.16,0,97,77.53,-0.468,25.73,0.56,0.555,0.597,0.415,0.511,0.511
"2022-12-29 07:00:00",13.16,0,96.8,77.99,-0.464,26.25,0.56,0.555,0.597,0.414,0.511,0.511
"2022-12-29 06:00:00",13.16,0,97.7,77.88,-0.464,26.32,0.56,0.555,0.597,0.414,0.503,0.503
"2022-12-29 05:00:00",13.16,0,98.1,78.32,-0.47,25.61,0.56,0.555,0.597,0.414,0.494,0.494
"2022-12-29 04:00:00",13.16,0,96.8,78.23,-0.408,24.61,0.56,0.555,0.597,0.414,0.492,0.492
"2022-12-29 03:00:00",13.16,0,96.8,78.29,-0.41,23.79,0.56,0.555,0.597,0.414,0.492,0.492
"2022-12-29 02:00:00",13.16,0,95.5,78.63,-0.34,23.31,0.56,0.555,0.597,0.414,0.492,0.492
"2022-12-29 01:00:00",13.16,0,96.1,78.71,-0.338,24.09,0.56,0.555,0.597,0.414,0.492,0.492
"2022-12-29 00:00:00",13.16,0,97.3,78.59,-0.47,24.92,0.56,0.555,0.597,0.414,0.492,0.492
"2022-12-28 23:00:00",13.16,0,97.4,78.75,-0.465,25.47,0.56,0.555,0.597,0.414,0.481,0.481
"2022-12-28 22:00:00",13.16,0,98.2,78.62,-0.464,25.86,0.56,0.555,0.597,0.414,0.473,0.473
"2022-12-28 21:00:00",13.16,0,97.8,78.81,-0.467,25.56,0.56,0.555,0.597,0.414,0.473,0.473
"2022-12-28 20:00:00",13.16,0,98.3,78.61,-0.472,25.4,0.56,0.555,0.597,0.414,0.472,0.472
"2022-12-28 19:00:00",13.16,0,97.3,78.23,-0.334,24.61,0.56,0.555,0.597,0.414,0.457,0.457
"2022-12-28 18:00:00",13.16,0,98.1,79.12,-0.472,24.9,0.56,0.555,0.597,0.414,0.453,0.453
"2022-12-28 17:00:00",13.16,0,98.4,79.42,-0.33,25.42,0.56,0.555,0.597,0.414,0.453,0.453
"2022-12-28 16:00:00",13.16,0.01,98.3,79.16,-0.464,25.98,0.56,0.555,0.597,0.413,0.449,0.449
"2022-12-28 15:00:00",13.16,0.02,98.7,78.86,15,26.48,0.56,0.555,0.597,0.409,0.434,0.434
"2022-12-28 14:00:00",13.16,0.04,99.3,79.13,15,26.99,0.56,0.555,0.597,0.409,0.431,0.431
"2022-12-28 13:00:00",13.16,0.05,99.3,78.96,15,27.04,0.56,0.555,0.596,0.397,0.434,0.434
"2022-12-28 12:00:00",13.16,0.02,98.3,79.38,15,24.8,0.56,0.555,0.597,0.395,0.433,0.433
"2022-12-28 11:00:00",13.16,0.02,96.7,79.78,15.06,23.1,0.56,0.555,0.596,0.395,0.42,0.42
"2022-12-28 10:00:00",13.16,0.03,97.6,80.2,14.56,23.49,0.56,0.555,0.596,0.397,0.415,0.415
"2022-12-28 09:00:00",13.16,0.02,97.7,80.2,30.26,23.26,0.559,0.555,0.596,0.402,0.415,0.415
"2022-12-28 08:00:00",13.16,0.02,97.4,80.2,14.32,23.13,0.559,0.555,0.596,0.403,0.414,0.414
"2022-12-28 07:00:00",13.16,0.03,97.4,80.4,13.75,22.9,0.559,0.555,0.596,0.404,0.4,0.4
"2022-12-28 06:00:00",13.16,0.02,97.3,80.6,13.32,22.73,0.559,0.555,0.596,0.404,0.396,0.396
"2022-12-28 05:00:00",13.16,0.01,97.3,80.6,46.2,22.58,0.559,0.555,0.596,0.396,0.394,0.394
"2022-12-28 04:00:00",13.16,0.02,97.4,77.24,46.2,22.83,0.559,0.555,0.596,0.395,0.376,0.376
"2022-12-28 03:00:00",13.16,0.01,97.6,80.7,14.39,22.91,0.559,0.555,0.596,0.385,0.376,0.376
"2022-12-28 02:00:00",13.16,0.01,97.5,80.6,46.2,23.26,0.559,0.555,0.596,0.376,0.374,0.374
"2022-12-28 01:00:00",13.16,0.02,97.2,79.16,46.2,23.01,0.559,0.555,0.596,0.37,0.356,0.356
"2022-12-28 00:00:00",13.16,0.04,97.6,81.3,14.53,23.19,0.558,0.555,0.596,0.356,0.353,0.353
"2022-12-27 23:00:00",13.16,0.05,98.5,81.1,46.2,24.76,0.558,0.555,0.596,0.337,0.337,0.337
"2022-12-27 22:00:00",13.16,0.07,98.4,81.1,46.2,24.41,0.558,0.555,0.596,0.337,0.337,0.337
"2022-12-27 21:00:00",13.16,0.09,98.7,79.74,46.2,25.01,0.557,0.556,0.596,0.337,0.318,0.318
"2022-12-27 20:00:00",13.16,0.09,98.7,80.9,46.2,25.02,0.557,0.555,0.596,0.324,0.309,0.309
"2022-12-27 19:00:00",13.17,0.12,99.1,77.99,46.2,25.86,0.556,0.555,0.596,0.313,0.294,0.294
"2022-12-27 18:00:00",13.19,0.12,99.3,78.26,46.2,26.57,0.556,0.554,0.596,0.312,0.286,0.286
"2022-12-27 17:00:00",13.22,0.12,100,72.87,46.2,28.52,0.556,0.554,0.595,0.302,0.274,0.274
"2022-12-27 16:00:00",13.25,0.12,100,70.59,46.2,28.28,0.556,0.553,0.595,0.301,0.272,0.272
"2022-12-27 15:00:00",13.33,0.09,100,66.57,46.2,28.58,0.556,0.553,0.595,0.295,0.263,0.263
"2022-12-27 14:00:00",13.29,0.09,100,329.3,46.2,29.16,0.556,0.553,0.595,0.289,0.256,0.256
"2022-12-27 13:00:00",13.16,0.07,100,61.92,46.2,30,0.556,0.553,0.595,0.283,0.249,0.249
"2022-12-27 12:00:00",13.16,0.06,100,66.44,46.2,30.15,0.556,0.553,0.595,0.277,0.247,0.247
"2022-12-27 11:00:00",13.16,0.07,100,329.3,46.2,31.21,0.556,0.553,0.595,0.258,0.239,0.239
"2022-12-27 10:00:00",13.16,0.1,100,63.73,46.2,31.49,0.556,0.553,0.595,0.258,0.239,0.239
"2022-12-27 09:00:00",13.16,0.13,100,61.91,46.2,31.65,0.555,0.553,0.595,0.258,0.239,0.239
"2022-12-27 08:00:00",13.16,0.11,100,63.97,46.2,32.43,0.555,0.553,0.595,0.258,0.239,0.239
"2022-12-27 07:00:00",13.16,0.07,100,65.02,-0.587,34.25,0.555,0.553,0.595,0.258,0.242,0.242
"2022-12-27 06:00:00",13.17,0.13,99.9,64.97,-0.585,35.04,0.555,0.553,0.595,0.258,0.258,0.258
"2022-12-27 05:00:00",13.17,0.1,100,65.19,-0.581,35.74,0.555,0.553,0.595,0.262,0.258,0.258
"2022-12-27 04:00:00",13.19,0.04,100,65.02,-0.581,36.48,0.555,0.554,0.595,0.263,0.253,0.253
"2022-12-27 03:00:00",13.21,0.05,100,64.99,-0.581,37.29,0.555,0.554,0.595,0.271,0.27,0.27
"2022-12-27 02:00:00",13.25,0.02,100,65.26,-0.581,37.14,0.555,0.554,0.595,0.285,0.27,0.27
"2022-12-27 01:00:00",13.36,0.12,100,65.89,-0.581,37.58,0.555,0.554,0.595,0.288,0.286,0.286
"2022-12-27 00:00:00",13.16,0.22,100,313.2,-0.581,39,0.555,0.554,0.595,0.306,0.291,0.291
"2022-12-26 23:00:00",13.17,0.15,99.7,66.6,-0.581,40.24,0.555,0.554,0.595,0.331,0.306,0.306
"2022-12-26 22:00:00",13.17,0.15,99.3,66.26,-0.548,40.8,0.556,0.554,0.595,0.354,0.328,0.328
"2022-12-26 21:00:00",13.16,0.14,99.9,66.63,-0.581,40.6,0.556,0.554,0.595,0.379,0.344,0.344
"2022-12-26 20:00:00",13.16,0.19,99.6,66.46,-0.581,39.21,0.556,0.554,0.595,0.404,0.357,0.357
"2022-12-26 19:00:00",13.16,0.18,99,66.09,-1.083,38.27,0.556,0.554,0.595,0.414,0.368,0.368
"2022-12-26 18:00:00",13.16,0.18,100,66.86,46.2,38.32,0.556,0.554,0.595,0.421,0.373,0.373
"2022-12-26 17:00:00",13.16,0.03,100,66.09,46.2,37.68,0.556,0.554,0.595,0.424,0.374,0.374
"2022-12-26 16:00:00",13.16,0.03,100,67.35,-1.928,36.53,0.557,0.554,0.596,0.416,0.374,0.374
"2022-12-26 15:00:00",13.16,0.03,100,69.68,46.2,32.5,0.557,0.554,0.596,0.417,0.379,0.379
"2022-12-26 14:00:00",13.16,0.02,100,67.39,-1.868,32.34,0.557,0.554,0.596,0.433,0.394,0.394
"2022-12-26 13:00:00",13.16,0.08,100,329.3,46.2,31.77,0.557,0.554,0.596,0.441,0.413,0.413
"2022-12-26 12:00:00",13.16,0.1,100,64.23,46.2,31.73,0.557,0.554,0.596,0.463,0.433,0.433
"2022-12-26 11:00:00",13.16,0.06,100,65.67,-0.652,32.75,0.557,0.554,0.596,0.49,0.468,0.468
"2022-12-26 10:00:00",13.16,0.15,100,65.53,-0.581,35.3,0.558,0.554,0.595,0.517,0.492,0.492
"2022-12-26 09:00:00",13.16,0.2,100,66.36,-0.514,38.61,0.558,0.554,0.595,0.548,0.533,0.533
"2022-12-26 08:00:00",13.16,0.14,100,64.35,-0.514,39.17,0.558,0.554,0.595,0.606,0.592,0.592
"2022-12-26 07:00:00",13.16,0.16,100,65.56,-0.514,39.45,0.557,0.555,0.595,0.69,0.646,0.646
"2022-12-26 06:00:00",13.16,0.19,100,66.93,-0.514,39.79,0.558,0.555,0.595,0.738,0.673,0.673
"2022-12-26 05:00:00",13.16,0.15,100,69.71,-0.581,40.08,0.558,0.555,0.595,0.76,0.683,0.683
"2022-12-26 04:00:00",13.16,0.17,100,69.34,-0.514,39.88,0.558,0.555,0.595,0.767,0.683,0.683
"2022-12-26 03:00:00",13.16,0.13,100,68.84,-0.514,39.87,0.558,0.555,0.595,0.777,0.683,0.683
"2022-12-26 02:00:00",13.16,0,95.6,68.74,-0.514,40.57,0.558,0.555,0.595,0.786,0.687,0.687
"2022-12-26 01:00:00",13.17,0,97.5,68.94,-0.514,40.69,0.558,0.555,0.595,0.79,0.691,0.691
"2022-12-26 00:00:00",13.17,0,99.7,69.24,-0.514,40.67,0.558,0.555,0.595,0.799,0.692,0.692
"2022-12-25 23:00:00",13.17,0,100,70.18,-0.381,40.64,0.558,0.555,0.595,0.8,0.692,0.692
"2022-12-25 22:00:00",13.17,0,100,67.6,-0.514,41.11,0.558,0.555,0.595,0.818,0.694,0.694
"2022-12-25 21:00:00",13.17,0,100,70.85,-0.548,41.9,0.558,0.555,0.595,0.818,0.7,0.7
"2022-12-25 20:00:00",13.17,0.01,100,70.68,-0.381,42.45,0.558,0.555,0.595,0.826,0.702,0.702
"2022-12-25 19:00:00",13.17,0,100,69.81,-0.447,42.65,0.558,0.555,0.595,0.836,0.702,0.702
"2022-12-25 18:00:00",13.17,0,100,73.19,-0.381,42.57,0.558,0.556,0.595,0.837,0.71,0.71
"2022-12-25 17:00:00",13.17,0,100,73.46,-0.381,42.65,0.558,0.556,0.595,0.838,0.712,0.712
"2022-12-25 16:00:00",13.17,0,100,73.32,-0.381,42.98,0.558,0.556,0.595,0.85,0.718,0.718
"2022-12-25 15:00:00",13.17,0,100,72.28,-0.381,43.05,0.558,0.556,0.595,0.857,0.721,0.721
"2022-12-25 14:00:00",13.17,0.01,100,71.28,-0.381,41.63,0.558,0.556,0.595,0.856,0.722,0.722
"2022-12-25 13:00:00",13.17,0.04,100,73.49,-0.381,39.91,0.558,0.556,0.595,0.857,0.722,0.722
"2022-12-25 12:00:00",13.16,0.05,100,72.75,-0.381,40.18,0.558,0.556,0.595,0.858,0.73,0.73
"2022-12-25 11:00:00",13.16,0.01,100,72.08,-0.381,37.57,0.558,0.556,0.595,0.862,0.739,0.739
"2022-12-25 10:00:00",13.16,0.04,100,72.27,-0.315,35.75,0.558,0.556,0.595,0.872,0.756,0.756
"2022-12-25 09:00:00",13.16,0.02,100,74.34,-0.383,35.03,0.557,0.556,0.595,0.876,0.761,0.761
"2022-12-25 08:00:00",13.16,0,100,73.13,-0.384,34.91,0.557,0.556,0.595,0.874,0.762,0.762
"2022-12-25 07:00:00",13.16,0,100,73.35,-0.255,34.91,0.557,0.556,0.595,0.877,0.781,0.781
"2022-12-25 06:00:00",13.16,0,100,74.66,-0.387,35.07,0.557,0.556,0.595,0.881,0.781,0.781
"2022-12-25 05:00:00",13.16,0,100,74.65,-0.388,34.81,0.557,0.555,0.595,0.897,0.789,0.789
"2022-12-25 04:00:00",13.16,0,100,74.72,-0.389,34.2,0.557,0.555,0.595,0.916,0.79,0.79
"2022-12-25 03:00:00",13.16,0,100,74.12,-0.255,33.76,0.557,0.554,0.595,0.918,0.781,0.781
"2022-12-25 02:00:00",13.16,0,100,75.06,-0.253,34.19,0.557,0.554,0.595,0.926,0.781,0.781
"2022-12-25 01:00:00",13.16,0,100,75.36,-0.382,35.1,0.557,0.554,0.594,0.918,0.768,0.768
"2022-12-25 00:00:00",13.16,0.01,100,75.56,-0.381,35.49,0.557,0.554,0.594,0.916,0.759,0.759
"2022-12-24 23:00:00",13.16,0.08,100,75.9,-0.314,35.79,0.557,0.553,0.594,0.88,0.723,0.723
"2022-12-24 22:00:00",13.16,0.09,100,75.97,-0.381,35.37,0.557,0.553,0.594,0.833,0.674,0.674
"2022-12-24 21:00:00",13.16,0.08,100,75.97,-0.247,36.29,0.556,0.554,0.594,0.742,0.623,0.623
"2022-12-24 20:00:00",13.16,0.07,100,76.23,-0.247,36.53,0.556,0.554,0.594,0.675,0.639,0.639
"2022-12-24 19:00:00",13.16,0.05,100,75.76,-0.247,36.47,0.556,0.553,0.593,0.657,0.724,0.724
"2022-12-24 18:00:00",13.16,0.06,100,76.23,-0.381,36.72,0.554,0.553,0.593,0.695,0.812,0.812
"2022-12-24 17:00:00",13.16,0.08,100,76.33,-0.381,36.96,0.547,0.552,0.592,0.654,0.818,0.818
"2022-12-24 16:00:00",13.16,0.1,100,76.33,-0.381,38.11,0.533,0.551,0.592,0.643,0.792,0.792
"2022-12-24 15:00:00",13.16,0.09,100,77.04,-0.381,37.97,0.511,0.55,0.592,0.636,0.761,0.761
"2022-12-24 14:00:00",13.16,0.13,100,77.54,-0.28,37.45,0.497,0.507,0.591,0.638,0.744,0.744
"2022-12-24 13:00:00",13.16,0.15,100,77.64,-0.381,36.93,0.492,0.465,0.591,0.639,0.745,0.745
"2022-12-24 12:00:00",13.16,0.22,99.9,77.57,-0.28,37.15,0.49,0.463,0.59,0.641,0.747,0.747
"2022-12-24 11:00:00",13.16,0.16,100,77.3,-0.381,37.14,0.489,0.462,0.59,0.64,0.746,0.746
"2022-12-24 10:00:00",13.16,0.09,100,76.7,-0.247,37.39,0.488,0.462,0.59,0.641,0.748,0.748
"2022-12-24 09:00:00",13.16,0.09,100,76.57,-0.414,37.05,0.487,0.461,0.59,0.642,0.751,0.751
"2022-12-24 08:00:00",13.16,0,100,77.97,-0.18,36.88,0.486,0.46,0.59,0.644,0.754,0.754
"2022-12-24 07:00:00",13.16,0,100,78.23,-0.181,36.54,0.485,0.459,0.589,0.644,0.755,0.755
"2022-12-24 06:00:00",13.16,0.04,100,78.34,-0.114,36.36,0.483,0.458,0.571,0.645,0.757,0.757
"2022-12-24 05:00:00",13.16,0.04,100,77.62,-0.116,36.46,0.483,0.458,0.539,0.645,0.759,0.759
"2022-12-24 04:00:00",13.16,0.1,100,77.7,-0.115,35.86,0.483,0.458,0.524,0.645,0.76,0.76
"2022-12-24 03:00:00",13.16,0.1,100,78.87,-0.115,35.95,0.483,0.457,0.521,0.645,0.76,0.76
"2022-12-24 02:00:00",13.16,0.03,100,78.84,-0.521,35.69,0.483,0.457,0.52,0.645,0.761,0.761
"2022-12-24 01:00:00",13.16,0.01,100,78.82,-0.185,34.2,0.483,0.457,0.52,0.645,0.761,0.761
"2022-12-24 00:00:00",13.16,0.01,100,79.61,0.416,34.91,0.483,0.457,0.521,0.645,0.761,0.761
"2022-12-23 23:00:00",13.16,0.04,100,80.1,0.414,34.89,0.483,0.457,0.522,0.645,0.761,0.761
"2022-12-23 22:00:00",13.16,0.02,100,80.8,1.015,33.42,0.482,0.456,0.524,0.645,0.761,0.761
"2022-12-23 21:00:00",13.16,0.01,100,79.24,0.108,31.82,0.482,0.456,0.527,0.645,0.761,0.761
"2022-12-23 20:00:00",13.16,0.04,100,79.63,46.2,31.72,0.482,0.456,0.529,0.646,0.761,0.761
"2022-12-23 19:00:00",13.16,0.04,100,77.83,-0.796,31.62,0.481,0.455,0.53,0.645,0.761,0.761
"2022-12-23 18:00:00",13.16,0.03,100,79.04,-0.594,31.62,0.48,0.454,0.528,0.646,0.761,0.761
"2022-12-23 17:00:00",13.16,0.03,100,79.66,-0.256,31.88,0.479,0.453,0.52,0.646,0.761,0.761
"2022-12-23 16:00:00",13.16,0.03,100,79.81,-0.254,32.69,0.478,0.452,0.51,0.646,0.761,0.761
"2022-12-23 15:00:00",13.16,0.06,100,79.81,-0.187,33.88,0.476,0.451,0.497,0.645,0.762,0.762
"2022-12-23 14:00:00",13.16,0.04,100,79.87,-0.188,34.06,0.475,0.45,0.482,0.646,0.763,0.763
"2022-12-23 13:00:00",13.16,0.1,100,80,-0.188,33.48,0.474,0.448,0.475,0.646,0.764,0.764
"2022-12-23 12:00:00",13.16,0.09,100,80.2,1.686,33.13,0.473,0.447,0.471,0.647,0.768,0.768
"2022-12-23 11:00:00",13.16,0.07,100,80.8,1.686,33.1,0.472,0.446,0.468,0.647,0.768,0.768
"2022-12-23 10:00:00",13.16,0.09,100,81.1,1.686,33.32,0.472,0.446,0.465,0.648,0.771,0.771
"2022-12-23 09:00:00",13.16,0.05,100,81.1,1.617,33.83,0.471,0.446,0.464,0.649,0.771,0.771
"2022-12-23 08:00:00",13.16,0.09,100,81.6,1.685,32.72,0.471,0.445,0.462,0.647,0.772,0.772
"2022-12-23 07:00:00",13.16,0.11,100,81.9,1.683,31.74,0.471,0.445,0.46,0.649,0.775,0.775
"2022-12-23 06:00:00",13.16,0.17,100,81.8,1.548,31.68,0.47,0.444,0.459,0.648,0.777,0.777
"2022-12-23 05:00:00",13.17,0.17,100,81,0.878,31.74,0.469,0.443,0.458,0.65,0.779,0.779
"2022-12-23 04:00:00",13.18,0.13,100,80.8,0.61,31.66,0.469,0.443,0.458,0.651,0.781,0.781
"2022-12-23 03:00:00",13.2,0.13,100,80.5,0.544,31.63,0.469,0.444,0.458,0.652,0.781,0.781
"2022-12-23 02:00:00",13.23,0.11,100,80.3,0.541,31.5,0.47,0.444,0.458,0.656,0.782,0.782
"2022-12-23 01:00:00",13.29,0.04,100,79.13,0.407,29.97,0.47,0.444,0.458,0.66,0.786,0.786
"2022-12-23 00:00:00",13.5,0.04,100,77.92,-0.129,27.78,0.47,0.444,0.458,0.661,0.783,0.783
"2022-12-22 23:00:00",13.23,0.02,99.6,79.36,-0.531,27.3,0.47,0.444,0.458,0.665,0.782,0.782
"2022-12-22 22:00:00",13.16,0.01,98.9,79.47,-0.468,26.16,0.471,0.444,0.458,0.666,0.783,0.783
"2022-12-22 21:00:00",13.16,0,99,79.64,-0.346,25,0.471,0.444,0.458,0.669,0.785,0.785
"2022-12-22 20:00:00",13.15,0,94,80.1,-0.346,17.91,0.471,0.444,0.458,0.669,0.8,0.8
"2022-12-22 19:00:00",13.15,0,94.1,79.93,-0.415,16.54,0.471,0.444,0.458,0.68,0.808,0.808
"2022-12-22 18:00:00",13.14,0,92.1,80.2,-0.295,10.47,0.471,0.444,0.458,0.688,0.804,0.804
"2022-12-22 17:00:00",13.14,0,88.2,80.1,-0.298,6.857,0.471,0.444,0.458,0.688,0.804,0.804
"2022-12-22 16:00:00",13.14,0,88.2,80.1,-0.432,7.185,0.471,0.444,0.458,0.689,0.805,0.805
