"Date/Time (PST)","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Temperature  (deg F) "
"2022-12-27 06:00:00",13.3,0.17,91.6,63.31,6.557,38.28
"2022-12-27 05:00:00",13.3,0.13,91.2,63.77,11.69,38.89
"2022-12-27 04:00:00",13.3,0.26,94.1,63.71,0.076,37.44
"2022-12-27 03:00:00",13.3,0.29,93.1,64.48,0.943,36.65
"2022-12-27 02:00:00",13.3,0.32,91.4,64.51,0.076,36.53
"2022-12-27 01:00:00",13.3,0.25,91.7,64.81,0.076,36.96
"2022-12-27 00:00:00",13.3,0.34,92.1,65.34,0.276,36.03
"2022-12-26 23:00:00",13.3,0.18,91.4,64.94,0.81,36.17
"2022-12-26 22:00:00",13.3,0.37,94.2,65.08,0.743,33.96
"2022-12-26 21:00:00",13.3,0.18,96.9,66.08,0.143,32.3
"2022-12-26 20:00:00",13.3,0.06,95.2,63.64,0.143,32.44
"2022-12-26 19:00:00",13.3,0.01,93.2,63.91,0.143,32.17
"2022-12-26 18:00:00",13.3,0.06,96.9,59.94,0.143,31.74
"2022-12-26 17:00:00",13.3,0.13,97.1,62.14,0.076,31.61
"2022-12-26 16:00:00",13.3,0.15,96.9,62.88,0.143,32.05
"2022-12-26 15:00:00",13.3,0.08,92.3,61.94,0.61,33.97
"2022-12-26 14:00:00",13.3,0.01,92.3,63.36,1.146,35.84
"2022-12-26 13:00:00",13.3,0.01,93.1,63.76,0.079,35.78
"2022-12-26 12:00:00",13.3,0.12,92.7,64.02,4.478,35.87
"2022-12-26 11:00:00",13.3,0.12,93.1,64.04,4.958,36.24
"2022-12-26 10:00:00",13.3,0.04,93.1,63.91,3.425,37.41
"2022-12-26 09:00:00",13.3,0.11,89.3,65.27,1.358,40.27
"2022-12-26 08:00:00",13.3,0.37,90.9,65.65,0.7,42.11
"2022-12-26 07:00:00",13.3,0.46,92.6,66.65,5.625,42.38
"2022-12-26 06:00:00",13.3,0.69,94.5,66.77,5.691,40.27
"2022-12-26 05:00:00",13.3,0.45,93.1,67.14,4.291,41.11
"2022-12-26 04:00:00",13.3,0.3,91.5,67.84,0.23,41.17
"2022-12-26 03:00:00",13.3,0.28,91.8,68.26,-0.43,42.49
"2022-12-26 02:00:00",13.3,0.39,91.1,69.23,0.108,43.22
"2022-12-26 01:00:00",13.3,0.37,93.2,69.2,-0.026,43.18
"2022-12-26 00:00:00",13.3,0.3,93.7,71,-0.125,43.37
"2022-12-25 23:00:00",13.3,0.35,92.6,71.27,0.108,44.03
"2022-12-25 22:00:00",13.3,0.23,90.1,71.5,0.108,44.41
"2022-12-25 21:00:00",13.3,0.09,93,71.87,0.108,44.81
"2022-12-25 20:00:00",13.3,0.08,93.8,72.56,0.241,45.09
"2022-12-25 19:00:00",13.3,0.21,94.9,72.66,0.108,44.08
"2022-12-25 18:00:00",13.3,0.33,95,79.34,0.23,42.93
"2022-12-25 17:00:00",13.3,0.13,95.7,95,0.025,41.84
"2022-12-25 16:00:00",13.3,0.06,95.2,73.04,0.359,40.22
"2022-12-25 15:00:00",13.3,0,89.8,73.37,0.359,41.41
"2022-12-25 14:00:00",13.3,0,88.1,73.7,0.625,40.07
"2022-12-25 13:00:00",13.3,0.01,87.8,74.02,0.689,38.94
"2022-12-25 12:00:00",13.3,0,94.8,73.95,0.744,36.56
"2022-12-25 11:00:00",13.3,0.01,94.1,74.54,1.01,35.6
"2022-12-25 10:00:00",13.3,0.13,94.4,74.61,1.01,35.11
"2022-12-25 09:00:00",13.3,0.11,92,74.71,0.883,36.43
"2022-12-25 08:00:00",13.3,0.06,93.6,75.11,1.149,37.19
"2022-12-25 07:00:00",13.3,0.02,96.9,75.67,1.148,36.92
"2022-12-25 06:00:00",13.3,0,95.1,75.41,1.143,36.39
"2022-12-25 05:00:00",13.3,0.01,95.8,75.08,1.143,35.67
"2022-12-25 04:00:00",13.3,0.03,97,75.08,1.01,35.66
"2022-12-25 03:00:00",13.3,0.06,97.9,75.01,0.877,35.62
"2022-12-25 02:00:00",13.3,0.07,96.6,75.88,0.877,36.28
"2022-12-25 01:00:00",13.3,0.04,96.3,75.75,1.144,36.42
"2022-12-25 00:00:00",13.3,0,93.9,76.15,1.144,36.68
"2022-12-24 23:00:00",13.3,0.01,84.9,76.49,1.146,37.87
"2022-12-24 22:00:00",13.3,0,83.4,76.68,1.143,37.88
"2022-12-24 21:00:00",13.3,0.05,97.2,76.61,1.277,35.69
"2022-12-24 20:00:00",13.3,0.16,97.6,77.14,1.277,35.57
"2022-12-24 19:00:00",13.3,0.21,97.9,109,1.548,36.01
"2022-12-24 18:00:00",13.3,0.21,93.9,77.94,1.425,37.29
"2022-12-24 17:00:00",13.3,0.18,93.1,77.64,1.458,38.14
"2022-12-24 16:00:00",13.3,0.25,94.5,77.9,1.492,38.81
"2022-12-24 15:00:00",13.3,0.19,94.3,78.1,1.492,39.07
"2022-12-24 14:00:00",13.3,0.23,91.3,78.64,1.958,39.37
"2022-12-24 13:00:00",13.3,0.17,91.3,79.37,2.225,39.34
"2022-12-24 12:00:00",13.3,0.31,90.8,79.77,3.025,39.26
"2022-12-24 11:00:00",13.3,0.28,92.4,80.6,3.358,39.57
"2022-12-24 10:00:00",13.3,0.32,94.4,82.1,4.224,39.03
"2022-12-24 09:00:00",13.3,0.24,95,82.8,4.618,38.07
"2022-12-24 08:00:00",13.3,0.23,95.5,82.5,4.814,38.31
"2022-12-24 07:00:00",13.3,0.23,96.3,83.7,5.077,37.98
"2022-12-24 06:00:00",13.3,0.2,95.8,84.5,5.277,37.43
"2022-12-24 05:00:00",13.3,0.17,97.2,85.1,5.544,37.29
"2022-12-24 04:00:00",13.3,0.18,96.7,85.5,5.677,37.23
"2022-12-24 03:00:00",13.3,0.14,98.4,86.1,4.943,34.78
"2022-12-24 02:00:00",13.3,0.13,98.6,86.7,6.077,33.73
"2022-12-24 01:00:00",13.3,0.11,98.3,86.9,6.077,33.16
"2022-12-24 00:00:00",13.3,0.11,98.5,87.3,6.077,32.82
"2022-12-23 23:00:00",13.3,0.05,98.4,86.7,5.676,31.79
"2022-12-23 22:00:00",13.3,0.04,98.5,87.3,5.775,31.9
"2022-12-23 21:00:00",13.31,0.02,98.2,87.3,5.671,30.55
"2022-12-23 20:00:00",13.3,0.09,97.6,87.4,5.408,29.82
"2022-12-23 19:00:00",13.3,0.14,98.4,87.2,5.01,30.66
"2022-12-23 18:00:00",13.3,0.06,99.1,86.1,3.51,31.3
"2022-12-23 17:00:00",13.3,0.1,99.1,84.5,2.343,31.56
"2022-12-23 16:00:00",13.3,0.07,99.1,84.8,1.577,31.75
"2022-12-23 15:00:00",13.3,0.06,99,83.9,0.21,31.86
"2022-12-23 14:00:00",13.3,0.08,99,84,0.743,32.1
"2022-12-23 13:00:00",13.3,0.09,99.1,84,0.143,32.21
"2022-12-23 12:00:00",13.3,0.09,99.1,84.2,6.077,32.46
"2022-12-23 11:00:00",13.3,0.12,99,84.6,6.077,31.89
"2022-12-23 10:00:00",13.3,0.12,99.1,84.7,5.944,31.76
"2022-12-23 09:00:00",13.3,0.12,99.1,84.7,5.677,31.66
"2022-12-23 08:00:00",13.3,0.11,99.1,84.7,5.41,31.56
"2022-12-23 07:00:00",13.3,0.12,99,84,4.477,31.56
"2022-12-23 06:00:00",13.3,0.12,98.9,83.5,3.677,31.58
"2022-12-23 05:00:00",13.3,0.07,98.7,82.9,2.876,31.55
"2022-12-23 04:00:00",13.31,0.11,98.2,82.3,2.338,31.56
"2022-12-23 03:00:00",13.31,0.04,95.6,81.6,1.261,30.1
"2022-12-23 02:00:00",13.31,0.03,93,81.8,0.994,29.1
"2022-12-23 01:00:00",13.3,0.01,92.2,81.5,0.594,27.9
"2022-12-23 00:00:00",13.31,0.01,91.6,81.2,0.185,26.54
"2022-12-22 23:00:00",13.31,0,89.4,82.1,0.178,26.52
"2022-12-22 22:00:00",13.31,0,88.3,81.7,0.309,23.71
"2022-12-22 21:00:00",13.31,0,79.02,81.3,0.163,18.28
"2022-12-22 20:00:00",13.31,0,57.23,81.5,0.063,17.94
"2022-12-22 19:00:00",13.31,0,27.12,81.5,0.163,19.07
"2022-12-22 18:00:00",13.31,0,35.66,81.8,0.163,17.29
"2022-12-22 17:00:00",13.31,0,33.77,81.8,0.151,16.09
"2022-12-22 16:00:00",13.31,0,45.17,82,0.147,12.98
"2022-12-22 15:00:00",13.31,0,47.39,82,0.027,13.06
"2022-12-22 14:00:00",13.31,0,43,81.9,-0.104,15.23
"2022-12-22 13:00:00",13.31,0,42.05,81.6,0.02,15.19
"2022-12-22 12:00:00",13.31,0,48.34,81.9,0.014,12.08
"2022-12-22 11:00:00",13.31,0,45.84,82.3,0.014,12.64
"2022-12-22 10:00:00",13.31,0,65.47,82.5,0.013,9.81
"2022-12-22 09:00:00",13.31,0,79.05,82.8,-0.007,7.661
"2022-12-22 08:00:00",13.3,0,82.5,82.9,-0.002,6.012
"2022-12-22 07:00:00",13.3,0,84.3,82.9,0.131,7.478
"2022-12-22 06:00:00",13.31,0,84.2,83.2,0.265,6.752
"2022-12-22 05:00:00",13.31,0,84.4,82.9,0.123,6.585
"2022-12-22 04:00:00",13.31,,,,,4.5
"2022-12-22 03:00:00",13.31,0,82.9,83.5,0.208,2.241
"2022-12-22 02:00:00",13.31,0,83.5,83,0.108,3.192
"2022-12-22 01:00:00",13.3,0,82.6,83.6,0.108,2.071
"2022-12-22 00:00:00",13.3,0,81.7,83.7,0.106,0.232
"2022-12-21 23:00:00",13.3,0,82.2,84.2,0.167,0.445
"2022-12-21 22:00:00",13.3,0,82.1,84.2,0.162,-0.725
"2022-12-21 21:00:00",13.3,0,81.4,84.3,-0.034,-1.032
"2022-12-21 20:00:00",13.3,0,81.5,84.5,0.161,-1.204
"2022-12-21 19:00:00",13.3,0,82.1,85,0.163,-1.315
"2022-12-21 18:00:00",13.3,0,81.8,84.5,0.106,-0.481
"2022-12-21 17:00:00",13.3,0,82.6,85,0.108,0.699
"2022-12-21 16:00:00",13.31,0,82.8,84.7,-0.018,1.473
"2022-12-21 15:00:00",13.31,0,82.8,84,-0.085,5.257
"2022-12-21 14:00:00",13.3,0,84.6,84.3,-0.212,6.475
"2022-12-21 13:00:00",13.3,0,84.5,83.8,-0.136,7.014
"2022-12-21 12:00:00",13.31,0,86.4,84.3,-0.55,8.21
"2022-12-21 11:00:00",13.31,0,84.7,85.3,0.049,6.387
"2022-12-21 10:00:00",13.31,0,84.6,85.3,-0.285,5.275
"2022-12-21 09:00:00",13.31,0,83,85.6,-0.159,1.59
"2022-12-21 08:00:00",13.3,0,83,85.8,0.108,0.928
"2022-12-21 07:00:00",13.3,0,84,86.4,0.116,3.188
"2022-12-21 06:00:00",13.31,0,84.5,86.7,6.095,4.393
"2022-12-21 05:00:00",13.31,0,84.5,86.7,6.129,4.438
"2022-12-21 04:00:00",13.31,0,85.4,86.8,6.133,6.28
"2022-12-21 03:00:00",13.3,0,86,87.2,6.142,7.796
"2022-12-21 02:00:00",13.31,0,86.8,87.9,6.354,9.47
"2022-12-21 01:00:00",13.31,0,87.4,87.9,6.289,10.79
"2022-12-21 00:00:00",13.31,0,87.7,87.9,6.523,11.32
"2022-12-20 23:00:00",13.31,0,87.9,88.1,6.49,11.78
"2022-12-20 22:00:00",13.31,0.01,88.5,87.2,6.163,13.35
"2022-12-20 21:00:00",13.31,0.01,89,87.8,5.299,13.92
"2022-12-20 20:00:00",13.31,0,89.1,88.4,5.836,14.4
"2022-12-20 19:00:00",13.31,0.03,89.4,87.9,4.301,14.77
"2022-12-20 18:00:00",13.31,0,89.7,88.4,4.167,15.39
"2022-12-20 17:00:00",13.31,0,89.8,88.8,4.935,15.84
"2022-12-20 16:00:00",13.3,0,90.4,89.2,5.171,17.28
"2022-12-20 15:00:00",13.3,0,91,89.1,5.249,18.91
"2022-12-20 14:00:00",13.31,0,91.8,89,5.116,20.43
"2022-12-20 13:00:00",13.3,0,93.1,88.9,5.388,22.89
"2022-12-20 12:00:00",13.3,0.01,93.7,89.3,5.396,24.36
"2022-12-20 11:00:00",13.3,0.03,94.2,90.5,5.783,24.5
"2022-12-20 10:00:00",13.3,0.06,93.9,91.5,5.917,23.81
"2022-12-20 09:00:00",13.3,0.1,94,90.7,4.483,23.93
"2022-12-20 08:00:00",13.3,0.07,93.8,89.7,1.646,23.51
"2022-12-20 07:00:00",13.3,0.07,93.8,89.4,1.046,23.77
"2022-12-20 06:00:00",13.3,0.1,93.7,88,15.32,23.18
"2022-12-20 05:00:00",13.3,0.09,93.3,86.5,12.32,22.54
"2022-12-20 04:00:00",13.3,0.06,92.2,84.9,12.19,21.16
"2022-12-20 03:00:00",13.3,0.06,92.1,84.6,11.35,20.12
"2022-12-20 02:00:00",13.31,0.04,91.6,82.3,9.41,19.31
"2022-12-20 01:00:00",13.31,0.03,91.3,81.1,8.17,18.72
"2022-12-20 00:00:00",13.31,0.02,91.1,80.7,7.104,18.02
"2022-12-19 23:00:00",13.31,0.01,90.8,80.1,6.436,17.47
"2022-12-19 22:00:00",13.31,0.01,90.5,77.53,5.302,17.05
"2022-12-19 21:00:00",13.31,0,90.3,79.13,3.7,16.68
"2022-12-19 20:00:00",13.31,0.01,90.1,79.13,4.568,16.35
"2022-12-19 19:00:00",13.31,0,90,78.53,4.701,16.08
"2022-12-19 18:00:00",13.31,0,89.8,78.93,4.234,15.7
"2022-12-19 17:00:00",13.31,0,89.5,78.33,3.433,15.23
"2022-12-19 16:00:00",13.31,0.01,89.4,75.73,3.967,15.17
"2022-12-19 15:00:00",13.31,0,89.6,78.47,45.81,15.6
"2022-12-19 14:00:00",13.31,0.03,89.8,75.86,45.81,16.21
"2022-12-19 13:00:00",13.31,0.02,90.7,76.6,1.898,17.4
"2022-12-19 12:00:00",13.31,0.01,90.4,75.16,0.697,17.45
"2022-12-19 11:00:00",13.3,0,90.1,71.73,0.029,16.65
"2022-12-19 10:00:00",13.3,0.01,89.2,76.25,0.826,14.89
"2022-12-19 09:00:00",13.31,0.02,88.8,76.65,0.549,13.56
"2022-12-19 08:00:00",13.31,0,88.3,77.24,0.514,12.69
"2022-12-19 07:00:00",13.31,0.02,88.3,77.24,0.147,12.61
"2022-12-19 06:00:00",13.31,0.01,88.1,77.44,7.892,12.27
"2022-12-19 05:00:00",13.31,0.01,88,76.84,7.625,12.07
"2022-12-19 04:00:00",13.31,0.03,88,75.84,7.024,12.2
"2022-12-19 03:00:00",13.31,0.02,88.1,73.43,45.81,12.17
"2022-12-19 02:00:00",13.31,0,88,73.43,5.154,12.1
"2022-12-19 01:00:00",13.31,0.01,88,74.44,5.088,12.13
"2022-12-19 00:00:00",13.3,0,88,72.77,45.81,11.6
"2022-12-18 23:00:00",13.3,0,88.2,74.16,3.217,11.18
"2022-12-18 22:00:00",13.3,0,87.3,74.79,4.748,10.17
"2022-12-18 21:00:00",13.31,0,87.2,74.96,4.752,10.2
"2022-12-18 20:00:00",13.31,0,87.6,75.04,4.687,10.92
"2022-12-18 19:00:00",13.31,0,88,75.3,4.687,11.48
"2022-12-18 18:00:00",13.31,0,88.1,75.5,4.42,11.79
"2022-12-18 17:00:00",13.31,0.02,88.3,75.9,5.102,13.14
"2022-12-18 16:00:00",13.31,0.01,89.4,73.93,3.767,14.99
"2022-12-18 15:00:00",13.31,0.01,89.3,74.93,3.767,15.96
"2022-12-18 14:00:00",13.3,0.01,89.9,74.98,4.307,16.93
"2022-12-18 13:00:00",13.3,0.03,90.3,73.62,3.781,18.15
"2022-12-18 12:00:00",13.3,0.03,91.4,73.96,2.58,19.67
"2022-12-18 11:00:00",13.3,0.08,92.3,73.89,2.714,21.43
"2022-12-18 10:00:00",13.3,0.07,92.1,71.75,1.513,20.59
"2022-12-18 09:00:00",13.3,0.02,92.1,70.72,0.846,20.64
"2022-12-18 08:00:00",13.3,0.03,92.3,71.02,0.178,20.82
"2022-12-18 07:00:00",13.3,0.06,92.5,71.69,7.05,21.46
"2022-12-18 06:00:00",13.3,0.05,92.9,70.35,6.116,21.83
"2022-12-18 05:00:00",13.3,0.06,92.9,68.75,5.249,21.56
"2022-12-18 04:00:00",13.3,0.06,92.6,350,3.614,21.24
"2022-12-18 03:00:00",13.3,0.09,92.5,69.02,4.448,21.91
"2022-12-18 02:00:00",13.3,0.03,93.1,68.89,3.915,22.45
"2022-12-18 01:00:00",13.3,0.05,91.5,66.65,45.81,22.43
"2022-12-18 00:00:00",13.3,0.03,91.8,67.78,2.58,22.46
"2022-12-17 23:00:00",13.3,0.02,92,67.62,2.18,22.49
"2022-12-17 22:00:00",13.3,0.01,91.9,66.88,1.246,22.29
"2022-12-17 21:00:00",13.3,0.01,92,66.62,1.513,22.84
"2022-12-17 20:00:00",13.3,0.02,91.2,66.12,1.379,23.02
"2022-12-17 19:00:00",13.3,0.01,92.2,65.15,1.113,22.88
"2022-12-17 18:00:00",13.3,0.03,92.1,65.05,0.979,22.81
"2022-12-17 17:00:00",13.3,0.01,92.6,64.48,0.579,22.56
"2022-12-17 16:00:00",13.3,0.02,93,65.68,0.579,22.38
"2022-12-17 15:00:00",13.31,0,93.4,65.73,0.448,22.36
"2022-12-17 14:00:00",13.31,0,93.6,65.59,0.312,22.8
"2022-12-17 13:00:00",13.3,0,94.9,65.84,0.059,22.88
"2022-12-17 12:00:00",13.3,0,91.1,65.91,0.061,25.2
"2022-12-17 11:00:00",13.3,0,87.2,65.65,0.061,26.07
"2022-12-17 10:00:00",13.3,0,81.9,65.89,0.057,26.61
"2022-12-17 09:00:00",13.31,0,75.92,65.93,0.119,27.02
"2022-12-17 08:00:00",13.3,0,72.81,65.91,0.056,27.68
"2022-12-17 07:00:00",13.3,0,70.91,65.95,0.061,28.32
"2022-12-17 06:00:00",13.3,0,70.42,65.91,0.061,28.84
"2022-12-17 05:00:00",13.3,0,71.35,66.18,0.06,28.47
"2022-12-17 04:00:00",13.3,0,54.18,65.78,0.06,29.98
"2022-12-17 03:00:00",13.3,0,57.03,66.51,0.061,29.69
"2022-12-17 02:00:00",13.3,0,57.69,66.18,0.194,30.71
"2022-12-17 01:00:00",13.3,0,64.13,66.65,0.184,29.8
"2022-12-17 00:00:00",13.3,0,69.78,66.18,0.06,29.19
"2022-12-16 23:00:00",13.3,0,69.07,66.41,0.061,30.08
"2022-12-16 22:00:00",13.3,0,71.36,66.31,0.061,30.06
"2022-12-16 21:00:00",13.3,0,68.57,66.26,0.162,31.07
"2022-12-16 20:00:00",13.3,0,66.83,66.39,0.101,31.89
"2022-12-16 19:00:00",13.3,0,62.95,66.35,0.073,32.88
"2022-12-16 18:00:00",13.3,0,60.99,66.74,0.137,34.12
"2022-12-16 17:00:00",13.3,0,64.45,66.48,0.201,34.28
"2022-12-16 16:00:00",13.3,0,67.25,66.66,0.202,33.69
"2022-12-16 15:00:00",13.3,0,53.46,65.91,-0.057,36.8
"2022-12-16 14:00:00",13.3,0,49.89,66.31,0.076,38.55
"2022-12-16 13:00:00",13.3,0,52.61,65.54,-0.057,36.91
"2022-12-16 12:00:00",13.3,0,52.33,65.48,-0.324,37.92
"2022-12-16 11:00:00",13.3,0,53.99,66.48,0.076,36.76
